{'crystal': 230, 'rot': 1, 'center_x': 664, 'center_y': 686}
{'crystal': 231, 'rot': 1, 'center_x': 971, 'center_y': 1074}
{'crystal': 232, 'rot': 1, 'center_x': 754, 'center_y': 742}
{'crystal': 233, 'rot': 1, 'center_x': 646, 'center_y': 858}
{'crystal': 234, 'rot': 1, 'center_x': 780, 'center_y': 1009}
{'crystal': 235, 'rot': 1, 'center_x': 983, 'center_y': 845}
{'crystal': 236, 'rot': 1, 'center_x': 441, 'center_y': 677}
{'crystal': 237, 'rot': 1, 'center_x': 496, 'center_y': 986}
{'crystal': 238, 'rot': 1, 'center_x': 888, 'center_y': 1109}
{'crystal': 239, 'rot': 1, 'center_x': 1020, 'center_y': 1123}
{'crystal': 240, 'rot': 1, 'center_x': 526, 'center_y': 514}
{'crystal': 241, 'rot': 1, 'center_x': 1026, 'center_y': 494}
{'crystal': 242, 'rot': 1, 'center_x': 760, 'center_y': 670}
{'crystal': 243, 'rot': 1, 'center_x': 633, 'center_y': 1123}
{'crystal': 244, 'rot': 1, 'center_x': 704, 'center_y': 556}
{'crystal': 245, 'rot': 1, 'center_x': 459, 'center_y': 1107}
{'crystal': 246, 'rot': 1, 'center_x': 784, 'center_y': 831}
{'crystal': 247, 'rot': 1, 'center_x': 448, 'center_y': 1123}
{'crystal': 248, 'rot': 1, 'center_x': 484, 'center_y': 748}
{'crystal': 249, 'rot': 1, 'center_x': 452, 'center_y': 529}
{'crystal': 250, 'rot': 1, 'center_x': 955, 'center_y': 1015}
{'crystal': 251, 'rot': 1, 'center_x': 825, 'center_y': 954}
{'crystal': 252, 'rot': 1, 'center_x': 454, 'center_y': 1171}
{'crystal': 253, 'rot': 1, 'center_x': 621, 'center_y': 551}
{'crystal': 254, 'rot': 1, 'center_x': 524, 'center_y': 450}
{'crystal': 255, 'rot': 1, 'center_x': 672, 'center_y': 1230}
{'crystal': 256, 'rot': 1, 'center_x': 756, 'center_y': 1092}
{'crystal': 257, 'rot': 1, 'center_x': 947, 'center_y': 1007}
{'crystal': 258, 'rot': 1, 'center_x': 995, 'center_y': 802}
{'crystal': 259, 'rot': 1, 'center_x': 687, 'center_y': 1135}
{'crystal': 260, 'rot': 1, 'center_x': 1005, 'center_y': 966}
{'crystal': 261, 'rot': 1, 'center_x': 447, 'center_y': 525}
{'crystal': 262, 'rot': 1, 'center_x': 704, 'center_y': 587}
{'crystal': 263, 'rot': 1, 'center_x': 572, 'center_y': 1234}
{'crystal': 264, 'rot': 1, 'center_x': 486, 'center_y': 907}
{'crystal': 265, 'rot': 1, 'center_x': 911, 'center_y': 825}
{'crystal': 266, 'rot': 1, 'center_x': 621, 'center_y': 710}
{'crystal': 267, 'rot': 1, 'center_x': 1010, 'center_y': 476}
{'crystal': 268, 'rot': 1, 'center_x': 987, 'center_y': 949}
{'crystal': 269, 'rot': 1, 'center_x': 807, 'center_y': 970}
{'crystal': 270, 'rot': 1, 'center_x': 460, 'center_y': 504}
{'crystal': 271, 'rot': 1, 'center_x': 470, 'center_y': 740}
{'crystal': 272, 'rot': 1, 'center_x': 448, 'center_y': 560}
{'crystal': 273, 'rot': 1, 'center_x': 948, 'center_y': 859}
{'crystal': 274, 'rot': 1, 'center_x': 530, 'center_y': 969}
{'crystal': 275, 'rot': 1, 'center_x': 511, 'center_y': 912}
{'crystal': 276, 'rot': 1, 'center_x': 799, 'center_y': 672}
{'crystal': 277, 'rot': 1, 'center_x': 553, 'center_y': 1198}
{'crystal': 278, 'rot': 1, 'center_x': 986, 'center_y': 765}
{'crystal': 279, 'rot': 1, 'center_x': 805, 'center_y': 505}
{'crystal': 280, 'rot': 1, 'center_x': 836, 'center_y': 876}
{'crystal': 281, 'rot': 1, 'center_x': 899, 'center_y': 586}
{'crystal': 282, 'rot': 1, 'center_x': 697, 'center_y': 510}
{'crystal': 283, 'rot': 1, 'center_x': 928, 'center_y': 624}
{'crystal': 284, 'rot': 1, 'center_x': 440, 'center_y': 1100}
{'crystal': 285, 'rot': 1, 'center_x': 880, 'center_y': 691}
{'crystal': 286, 'rot': 1, 'center_x': 875, 'center_y': 948}
{'crystal': 287, 'rot': 1, 'center_x': 722, 'center_y': 462}
{'crystal': 288, 'rot': 1, 'center_x': 751, 'center_y': 632}
{'crystal': 289, 'rot': 1, 'center_x': 703, 'center_y': 1238}
{'crystal': 290, 'rot': 1, 'center_x': 1017, 'center_y': 1102}
{'crystal': 291, 'rot': 1, 'center_x': 480, 'center_y': 1016}
{'crystal': 292, 'rot': 1, 'center_x': 770, 'center_y': 1036}
{'crystal': 293, 'rot': 1, 'center_x': 702, 'center_y': 651}
{'crystal': 294, 'rot': 1, 'center_x': 571, 'center_y': 844}
{'crystal': 295, 'rot': 1, 'center_x': 808, 'center_y': 1140}
{'crystal': 296, 'rot': 1, 'center_x': 892, 'center_y': 684}
{'crystal': 297, 'rot': 1, 'center_x': 1030, 'center_y': 1046}
{'crystal': 298, 'rot': 1, 'center_x': 981, 'center_y': 936}
{'crystal': 299, 'rot': 1, 'center_x': 488, 'center_y': 1117}
{'crystal': 300, 'rot': 1, 'center_x': 785, 'center_y': 1089}
{'crystal': 301, 'rot': 1, 'center_x': 760, 'center_y': 628}
{'crystal': 302, 'rot': 1, 'center_x': 874, 'center_y': 607}
{'crystal': 303, 'rot': 1, 'center_x': 576, 'center_y': 744}
{'crystal': 304, 'rot': 1, 'center_x': 833, 'center_y': 1078}
{'crystal': 305, 'rot': 1, 'center_x': 660, 'center_y': 774}
{'crystal': 306, 'rot': 1, 'center_x': 621, 'center_y': 1012}
{'crystal': 307, 'rot': 1, 'center_x': 988, 'center_y': 1086}
{'crystal': 308, 'rot': 1, 'center_x': 894, 'center_y': 639}
{'crystal': 309, 'rot': 1, 'center_x': 532, 'center_y': 963}
{'crystal': 310, 'rot': 1, 'center_x': 649, 'center_y': 533}
{'crystal': 311, 'rot': 1, 'center_x': 538, 'center_y': 550}
{'crystal': 312, 'rot': 1, 'center_x': 583, 'center_y': 1192}
{'crystal': 313, 'rot': 1, 'center_x': 677, 'center_y': 1092}
{'crystal': 314, 'rot': 1, 'center_x': 698, 'center_y': 543}
{'crystal': 315, 'rot': 1, 'center_x': 842, 'center_y': 734}
{'crystal': 316, 'rot': 1, 'center_x': 816, 'center_y': 789}
{'crystal': 317, 'rot': 1, 'center_x': 672, 'center_y': 542}
{'crystal': 318, 'rot': 1, 'center_x': 732, 'center_y': 810}
{'crystal': 319, 'rot': 1, 'center_x': 660, 'center_y': 815}
{'crystal': 320, 'rot': 1, 'center_x': 708, 'center_y': 823}
{'crystal': 321, 'rot': 1, 'center_x': 449, 'center_y': 868}
{'crystal': 322, 'rot': 1, 'center_x': 898, 'center_y': 706}
{'crystal': 323, 'rot': 1, 'center_x': 564, 'center_y': 1082}
{'crystal': 324, 'rot': 1, 'center_x': 1028, 'center_y': 534}
{'crystal': 325, 'rot': 1, 'center_x': 464, 'center_y': 1085}
{'crystal': 326, 'rot': 1, 'center_x': 664, 'center_y': 674}
{'crystal': 327, 'rot': 1, 'center_x': 455, 'center_y': 997}
{'crystal': 328, 'rot': 1, 'center_x': 886, 'center_y': 1211}
{'crystal': 329, 'rot': 1, 'center_x': 593, 'center_y': 704}
{'crystal': 330, 'rot': 1, 'center_x': 938, 'center_y': 1153}
{'crystal': 331, 'rot': 1, 'center_x': 749, 'center_y': 896}
{'crystal': 332, 'rot': 1, 'center_x': 564, 'center_y': 1021}
{'crystal': 333, 'rot': 1, 'center_x': 471, 'center_y': 1068}
{'crystal': 334, 'rot': 1, 'center_x': 788, 'center_y': 1153}
{'crystal': 335, 'rot': 1, 'center_x': 1019, 'center_y': 1199}
{'crystal': 336, 'rot': 1, 'center_x': 573, 'center_y': 1217}
{'crystal': 337, 'rot': 1, 'center_x': 655, 'center_y': 776}
{'crystal': 338, 'rot': 1, 'center_x': 855, 'center_y': 539}
{'crystal': 339, 'rot': 1, 'center_x': 950, 'center_y': 963}
{'crystal': 340, 'rot': 1, 'center_x': 604, 'center_y': 1144}
{'crystal': 341, 'rot': 1, 'center_x': 822, 'center_y': 548}
{'crystal': 342, 'rot': 1, 'center_x': 1012, 'center_y': 631}
{'crystal': 343, 'rot': 1, 'center_x': 461, 'center_y': 727}
