g, r, t, l, id
2, 0.7, 0.6, 0.1, 606
2, 0.7, 0.6, 0.2, 607
2, 0.7, 0.6, 0.3, 608
2, 0.7, 0.6, 0.4, 609
2, 0.7, 0.6, 0.5, 610
2, 0.7, 0.6, 0.6, 611
2, 0.7, 0.6, 0.7, 612
2, 0.7, 0.6, 0.8, 613
2, 0.7, 0.6, 0.9, 614
2, 0.7, 0.6, 1.0, 615
2, 0.7, 0.7, 0.0, 616
2, 0.7, 0.7, 0.1, 617
2, 0.7, 0.7, 0.2, 618
2, 0.7, 0.7, 0.3, 619
2, 0.7, 0.7, 0.4, 620
2, 0.7, 0.7, 0.5, 621
2, 0.7, 0.7, 0.6, 622
2, 0.7, 0.7, 0.7, 623
2, 0.7, 0.7, 0.8, 624
2, 0.7, 0.7, 0.9, 625
2, 0.7, 0.7, 1.0, 626
2, 0.7, 0.8, 0.0, 627
2, 0.7, 0.8, 0.1, 628
2, 0.7, 0.8, 0.2, 629
2, 0.7, 0.8, 0.3, 630
2, 0.7, 0.8, 0.4, 631
2, 0.7, 0.8, 0.5, 632
2, 0.7, 0.8, 0.6, 633
2, 0.7, 0.8, 0.7, 634
2, 0.7, 0.8, 0.8, 635
2, 0.7, 0.8, 0.9, 636
2, 0.7, 0.8, 1.0, 637
2, 0.7, 0.9, 0.0, 638
2, 0.7, 0.9, 0.1, 639
2, 0.7, 0.9, 0.2, 640
2, 0.7, 0.9, 0.3, 641
2, 0.7, 0.9, 0.4, 642
2, 0.7, 0.9, 0.5, 643
2, 0.7, 0.9, 0.6, 644
2, 0.7, 0.9, 0.7, 645
2, 0.7, 0.9, 0.8, 646
2, 0.7, 0.9, 0.9, 647
2, 0.7, 0.9, 1.0, 648
2, 0.7, 1.0, 0.0, 649
2, 0.7, 1.0, 0.1, 650
2, 0.7, 1.0, 0.2, 651
2, 0.7, 1.0, 0.3, 652
2, 0.7, 1.0, 0.4, 653
2, 0.7, 1.0, 0.5, 654
2, 0.7, 1.0, 0.6, 655
2, 0.7, 1.0, 0.7, 656
2, 0.7, 1.0, 0.8, 657
2, 0.7, 1.0, 0.9, 658
2, 0.7, 1.0, 1.0, 659
2, 0.8, 0.1, 0.0, 660
2, 0.8, 0.1, 0.1, 661
2, 0.8, 0.1, 0.2, 662
2, 0.8, 0.1, 0.3, 663
2, 0.8, 0.1, 0.4, 664
2, 0.8, 0.1, 0.5, 665
2, 0.8, 0.1, 0.6, 666
2, 0.8, 0.1, 0.7, 667
2, 0.8, 0.1, 0.8, 668
2, 0.8, 0.1, 0.9, 669
2, 0.8, 0.1, 1.0, 670
2, 0.8, 0.2, 0.0, 671
2, 0.8, 0.2, 0.1, 672
2, 0.8, 0.2, 0.2, 673
2, 0.8, 0.2, 0.3, 674
2, 0.8, 0.2, 0.4, 675
2, 0.8, 0.2, 0.5, 676
2, 0.8, 0.2, 0.6, 677
2, 0.8, 0.2, 0.7, 678
2, 0.8, 0.2, 0.8, 679
2, 0.8, 0.2, 0.9, 680
2, 0.8, 0.2, 1.0, 681
2, 0.8, 0.3, 0.0, 682
2, 0.8, 0.3, 0.1, 683
2, 0.8, 0.3, 0.2, 684
2, 0.8, 0.3, 0.3, 685
2, 0.8, 0.3, 0.4, 686
2, 0.8, 0.3, 0.5, 687
2, 0.8, 0.3, 0.6, 688
2, 0.8, 0.3, 0.7, 689
2, 0.8, 0.3, 0.8, 690
2, 0.8, 0.3, 0.9, 691
2, 0.8, 0.3, 1.0, 692
2, 0.8, 0.4, 0.0, 693
2, 0.8, 0.4, 0.1, 694
2, 0.8, 0.4, 0.2, 695
2, 0.8, 0.4, 0.3, 696
